topic,mod_spec,BIC,chisq,npar,rmsea,converged,nobs,type,BIC_diff,verdict
t140,AUM4,27730.99913511362,81.28277976240733,8,0.15143112378443277,TRUE,3501,AUM,-32.877151680964744,AUM
t141,SDM1,28190.823603615492,54.75118894832688,6,0.0701945643789778,TRUE,3501,SDM,-8.064042130175949,SDM
t142,AUM3,31329.463517207743,1.6244158957927726,7,0,TRUE,3501,AUM,-15.433736066843267,AUM
t143,SDM1,28042.36961086565,25.17497574454998,6,0.045948876194226204,TRUE,3501,SDM,-1.7727859595361224,Inconclusive
t144,AUM3,25807.057018700383,22.112040911913763,7,0.05359410449432537,TRUE,3501,AUM,-9.58233026675589,AUM
t145,SDM1,32388.035108079046,163.82659306488645,6,0.12374345802224264,TRUE,3501,SDM,-5.5636525956579135,SDM
t146,AUM3,25644.976631106107,56.25523841309055,7,0.0880257603076144,TRUE,3501,AUM,-175.55952321854056,AUM
t147,SDM1,27954.650042424633,37.26714030945408,6,0.05711921742699183,TRUE,3501,SDM,-8.020096427979297,SDM
t148,SDM1,29597.14113596936,374.771966812038,6,0.1881402153385443,TRUE,3501,SDM,-5.043228357877524,SDM
t149,AUM3,19594.394826881005,78.08667732727567,7,0.10424212507837835,TRUE,3501,AUM,-39.69139679667569,AUM
t150,SDM1,29570.161160515938,108.96314732437081,6,0.10044324660841258,TRUE,3501,SDM,-8.032365876424592,SDM
t151,AUM3,30253.539371408657,4.764849791165224,7,0.019871228518063097,TRUE,3501,AUM,-9.202345647376205,AUM
t152,SDM1,27523.914208217386,14.420262966063895,6,0.03297473920007766,TRUE,3501,SDM,-5.908735670571332,SDM
t153,SDM1,33061.524969137834,14.951841782691131,6,0.0337334480698243,TRUE,3501,SDM,-3.1702824500680435,SDM
t154,AUM3,26064.509554643326,3.0979663685022456,7,0.012522281589401447,TRUE,3501,AUM,-22.80441826663082,AUM
t155,SDM1,34336.345638530714,78.46225536664808,6,0.08476336859341459,TRUE,3501,SDM,-0.2086383119385573,Inconclusive
t156,AUM3,19543.458323806688,5.226428105316294,7,0.021465941568718408,TRUE,3501,AUM,-36.23754151869434,AUM
t157,SDM1,26171.405011455638,5.2860663329619255,6,0.014753250998361467,TRUE,3501,SDM,-7.897767842081521,SDM
t158,SDM1,28139.815192137827,10.166948862580849,6,0.02612224330007222,TRUE,3501,SDM,-0.4564145532785915,Inconclusive
t159,SDM1,29139.22755448205,18.38195274205809,6,0.03826917092402491,TRUE,3501,SDM,-5.468724147700414,SDM
t160,SDM1,31492.671139085927,5.012901685291937,6,0.013843777129768215,TRUE,3501,SDM,-6.797147085322649,SDM
t161,AUM3,27852.148495658865,4.7783401899687545,7,0.019919647892844766,TRUE,3501,AUM,-0.6516718639868486,Inconclusive
t162,SDM1,25189.720003142094,14.670984323285218,6,0.03333473907816344,TRUE,3501,SDM,-8.12153862815103,SDM
t163,AUM4,16115.18165953803,535.8773892785499,8,0.39086885298499363,TRUE,3501,AUM,-251.28131578280954,AUM
t164,SDM1,30923.054238270048,1.9233174640334296,6,0,TRUE,3501,SDM,-6.4103476254604175,SDM
t165,SDM1,29580.54951099393,13.726238578239931,6,0.031957076590188545,TRUE,3501,SDM,-2.0775004956994962,SDM
t166,AUM1,32996.52070065789,18.659321009533063,5,0.03235421569842088,TRUE,3501,AUM,-8.822476534762245,AUM
t167,SDM1,30115.78525940275,12.332909988471428,6,0.02980930536149029,TRUE,3501,SDM,-8.048262154501572,SDM
t168,AUM3,30915.80876408862,42.76863942545761,7,0.07630483468100284,TRUE,3501,AUM,-6.122755262393184,AUM
t169,AUM1,30461.77703909647,0.47563950270201977,5,0,TRUE,3501,AUM,-8.136102316493634,AUM
t170,AUM3,32153.43065766646,204.38945201821716,7,0.17001329484877958,TRUE,3501,AUM,-17.825939529473544,AUM
t171,SDM1,30824.851394753205,31.173857334279845,6,0.051792452070056505,TRUE,3501,SDM,-7.5267551367032866,SDM
t172,AUM3,26022.462473557243,15.454866830290092,7,0.04383577091284997,TRUE,3501,AUM,-38.54129927834583,AUM
t173,SDM1,30516.280789461565,7.016344080275537,6,0.01955504290376911,TRUE,3501,SDM,-3.2922535879733914,SDM
t174,AUM3,27994.137577352907,71.98277122873922,7,0.09997341208147921,TRUE,3501,AUM,-142.53167189093438,AUM
t175,AUM3,26925.933033043344,61.493486042463175,7,0.0921772305002068,TRUE,3501,AUM,-78.55789907138023,AUM
t176,AUM1,23861.84776461143,1.5400650896119334,5,0,TRUE,3501,AUM,-6.896663208692189,AUM
t177,AUM3,24114.34147806677,12.577277373555138,7,0.03886654116977028,TRUE,3501,AUM,-86.84740589836656,AUM
t178,SDM1,25808.172033191026,11.139462186362277,6,0.027838201382091424,TRUE,3501,SDM,-2.5256526003067847,SDM
t179,AUM3,20604.22935932294,0.7337183095090954,7,0,TRUE,3501,AUM,-11.865858545708761,AUM
t180,SDM1,28481.57124549216,32.83743761170279,6,0.053299615887601445,TRUE,3501,SDM,-7.948901985244447,SDM
t181,AUM3,25689.913141512472,11.146026861094947,7,0.036141417588144306,TRUE,3501,AUM,-18.283948404285184,AUM
t182,SDM1,19393.735801416406,7.232046255656167,6,0.020073288208955004,TRUE,3501,SDM,-8.0422514923157,SDM
t183,AUM3,27491.924457115292,67.82859573407161,7,0.09696081162443917,TRUE,3501,AUM,-1.9717504966902197,Inconclusive
t184,SDM1,29788.635169967154,107.77700746097277,6,0.09987948915897588,TRUE,3501,SDM,-2.461309433601855,SDM
t185,AUM3,30038.830743149036,20.105614607107015,7,0.05085054157872758,TRUE,3501,AUM,-130.15242503368063,AUM
t186,SDM1,29186.827478164836,5.125385315237395,6,0.0142253236158401,TRUE,3501,SDM,-4.337865204513946,SDM
t187,SDM1,28569.45491328933,6.553581300675856,6,0.01839401114166864,TRUE,3501,SDM,-7.695656853935361,SDM
t188,SDM2,29065.10860305573,23.025598814889914,7,0.054797801333405914,TRUE,3501,SDM,-2.3013507492833014,SDM
t189,AUM3,25795.591413355312,222.45699307356614,7,0.17743973759827317,TRUE,3501,AUM,-10.18427420027001,AUM
t190,AUM3,30909.416915323127,0.9148671379384626,7,0,TRUE,3501,AUM,-16.04705025827934,AUM
t191,AUM4,28026.692704163714,34.28130758603068,8,0.09749989209821357,TRUE,3501,AUM,-23.65053968381835,AUM
t192,SDM1,-2437.9231534355613,3.1920719726072346,6,0.004276370407757828,TRUE,3501,SDM,-8.155174716087004,SDM
t193,SDM1,25276.176175037162,5.528204315794428,6,0.01551491502985887,TRUE,3501,SDM,-2.7491339634543692,SDM
t194,SDM1,22957.367102519198,1.096952284383015,6,0,TRUE,3501,SDM,-7.7537862244171265,SDM
t195,AUM3,24478.55581255824,3.5873376169184046,7,0.01505648517809124,TRUE,3501,AUM,-45.29624614543354,AUM
t196,SDM1,22761.902427578163,342.6746275434464,6,0.1798352699583661,TRUE,3501,SDM,-1.2679142397319083,Inconclusive
t197,SDM1,25292.136944561764,6.916678866385507,6,0.01931089042586712,TRUE,3501,SDM,-5.7472905313334195,SDM
t198,AUM3,34285.161021343134,4.80866567506836,7,0.020028063983087537,TRUE,3501,AUM,-323.6418963833494,AUM
t199,SDM1,26106.614973216474,5.005126139968822,6,0.01381701301337279,TRUE,3501,SDM,-6.916572019490559,SDM
